# t x y z velocityx velocityy velocityz
1.586319999999999936e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.156791747493991274e-02 6.536213469209126159e-02 -3.884115273215976803e-03 -8.311465902418187571e-03
1.586359999999999900e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.121488423446456564e-02 4.766165880114178049e-02 5.197749271097628493e-04 -1.162594896196667005e-02
1.586400000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.104780269727093631e-02 3.077943838717826786e-02 3.831545037947800721e-03 -1.264808107306010856e-02
1.586430000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.094345556432603700e-02 1.687542852991787828e-02 4.690110912634423701e-03 -1.043637625335705477e-02
1.586470000000000027e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.049561901884235093e-02 1.102297264664650611e-02 3.449578265800781144e-03 -6.520881558847462303e-03
1.586509999999999991e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.033510670784512489e-02 1.068949858736896463e-02 7.413856562288875319e-04 -2.208224979915793858e-03
1.586539999999999964e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.053182148197004592e-02 1.641503864997838347e-02 -3.906764111233577974e-03 6.113288726519510927e-05
1.586579999999999927e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.075186162290434608e-02 2.852183328615159885e-02 -9.572791838757286481e-03 2.922073577824665577e-03
1.586609999999999900e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.083595739025274202e-02 4.495329963185083766e-02 -1.339443706382404016e-02 4.899357000711731039e-03
1.586650000000000091e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.093401339404298359e-02 6.392319469138948995e-02 -1.413371743507091383e-02 7.096820104261645536e-03
1.586680000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.131298708262941918e-02 8.409144034445048543e-02 -1.219100027376151391e-02 6.370039359160350849e-03
1.586710000000000036e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.162548518856883401e-02 1.046753963452943526e-01 -8.938531441881914300e-03 1.936358630703559260e-03
1.586750000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.174538891927334239e-02 1.242896724453356472e-01 -5.667456158259970636e-03 -4.444715209451314923e-03
1.586779999999999973e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.165794328080323031e-02 1.417583433211905275e-01 -2.287075648297647729e-03 -1.460650025798865097e-02
1.586809999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.114346405054213368e-02 1.554237757230625405e-01 1.485387872258633717e-03 -2.957392411571221208e-02
1.586849999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.997566597383917258e-02 1.604290768047236249e-01 5.222695666179756613e-03 -4.644879603323456840e-02
1.586880000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.848219305776080401e-02 1.180110914612515494e-01 6.193111975355342774e-03 -7.180246445794036259e-02
1.586910000000000082e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.620550394859635035e-02 1.031103572029657411e-01 4.733657306012778974e-03 -7.376860334080204140e-02
1.586940000000000055e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.379428837074614389e-02 1.028344983716048960e-01 3.798108226140645399e-03 -7.996363214780850825e-02
1.586980000000000018e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.085869062167518946e-02 1.078934147129251564e-01 3.047897617190236351e-03 -8.588994951419438861e-02
1.587009999999999991e+03 0.000000000000000000e+00 0.000000000000000000e+00 7.988759748732745733e-03 1.023856788112450511e-01 2.537734660247667993e-03 -9.128899881791389948e-02
1.587039999999999964e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.651999976248863411e-03 7.703489257363062281e-02 2.389571003922762345e-03 -9.854945877806477184e-02
1.587069999999999936e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.429543278707536566e-03 2.942084608524054429e-02 3.155658407190291455e-03 -1.176900543346336980e-01
1.587109999999999900e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.780858477484884711e-03 -1.063824741019745584e-02 4.393174104272493108e-03 -9.910071333920483783e-02
1.587140000000000100e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.936374035193676416e-03 8.874490116725711197e-04 3.443212310952449735e-03 -1.034393026641557134e-01
1.587170000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 -8.556849073075264642e-03 1.003685844283567184e-02 1.928439012232489435e-03 -9.376439296704684734e-02
1.587200000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.158893983368715699e-02 -3.803440853126882886e-03 8.867968883814148981e-04 -8.547753247925558850e-02
1.587240000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.452445606995289920e-02 -2.540043505420057357e-02 5.019021563785997734e-04 -7.984220431007629792e-02
1.587269999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.718040480451104440e-02 -6.658293819621236009e-02 2.070963175602630844e-03 -8.277813382620038962e-02
1.587309999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.935438436410682334e-02 -1.105275734003868804e-01 8.738908171343985967e-03 -7.082107511280510970e-02
1.587339999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.047833103752584941e-02 -1.217365197694722234e-01 6.430372022067997774e-03 -4.264492928109842040e-02
1.587380000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.125647316529620523e-02 -1.106679233298513421e-01 5.135423582511706476e-03 -2.173547599419566739e-02
