ZONE T = " 0.00000E+00", I=  129, J=  256
 5.49759082E-02 -8.44751761E-02  4.97722875E-18  3.89631127E-17 -1.56535598E+01 -1.56535598E+01
 5.56463462E-02 -8.44751761E-02  2.52680506E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 5.63167841E-02 -8.44751761E-02  4.05077667E-18  4.47032089E-17 -1.56535598E+01 -1.56535598E+01
 5.69872220E-02 -8.44751761E-02  3.43682646E-18  5.13731491E-17 -1.56535598E+01 -1.56535598E+01
 5.76576599E-02 -8.44751761E-02  1.42937680E-18  7.79262254E-17 -1.56535598E+01 -1.56535598E+01
 5.83280978E-02 -8.44751761E-02  4.04288810E-18  1.18477042E-16 -1.56535598E+01 -1.56535598E+01
 5.89985357E-02 -8.44751761E-02  7.89399137E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 5.96689736E-02 -8.44751761E-02  6.06433215E-18  9.11846983E-17 -1.56535598E+01 -1.56535598E+01
 6.03394115E-02 -8.44751761E-02  1.01072203E-18  7.79262254E-17 -1.56535598E+01 -1.56535598E+01
 6.10098494E-02 -8.44751761E-02  3.23588935E-18  3.89631127E-17 -1.56535598E+01 -1.56535598E+01
 6.16802873E-02 -8.44751761E-02  2.85875359E-18  1.13132464E-16 -1.56535598E+01 -1.56535598E+01
 6.23507252E-02 -8.44751761E-02  3.07399103E-18  9.96302985E-17 -1.56535598E+01 -1.56535598E+01
 6.30211631E-02 -8.44751761E-02  4.41287533E-18  5.31605728E-17 -1.56535598E+01 -1.56535598E+01
 6.36916010E-02 -8.44751761E-02  5.07881532E-18  0.00000000E+00 -1.56535598E+01 -1.56535598E+01
 6.43620389E-02 -8.44751761E-02  5.54171614E-18  6.48385388E-17 -1.56535598E+01 -1.56535598E+01
 6.50324768E-02 -8.44751761E-02  5.71750719E-18  3.89631127E-17 -1.56535598E+01 -1.56535598E+01
 6.57029147E-02 -8.44751761E-02  5.20914209E-18  6.76589108E-17 -1.56535598E+01 -1.56535598E+01
 6.63733526E-02 -8.44751761E-02  6.47177870E-18  8.60451899E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-02 -8.44751761E-02  7.20139443E-18  9.74077817E-17 -1.56535598E+01 -1.56535598E+01
 6.77142285E-02 -8.44751761E-02  2.52680506E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 6.83846664E-02 -8.44751761E-02  4.33302866E-18  3.02048709E-17 -1.56535598E+01 -1.56535598E+01
 6.90551043E-02 -8.44751761E-02  4.31780639E-18  6.35652878E-17 -1.56535598E+01 -1.56535598E+01
 6.97255422E-02 -8.44751761E-02  1.42937680E-18  7.54904266E-17 -1.56535598E+01 -1.56535598E+01
 7.03959801E-02 -8.44751761E-02  7.14688398E-18  1.06321146E-16 -1.56535598E+01 -1.56535598E+01
 7.10664180E-02 -8.44751761E-02  3.04267622E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 7.17368559E-02 -8.44751761E-02  6.67095679E-18  5.20506265E-17 -1.56535598E+01 -1.56535598E+01
 7.24072938E-02 -8.44751761E-02  1.04182842E-18  5.89915898E-17 -1.56535598E+01 -1.56535598E+01
